chromosome_name,external_gene_name,external_transcript_name,transcript_length,description
1,FAM231B,FAM231B-201,510,family with sequence similarity 231 member B [Source:HGNC Symbol;Acc:HGNC:49506]
1,CYB5RL,CYB5RL-207,679,cytochrome b5 reductase like [Source:HGNC Symbol;Acc:HGNC:32220]
1,TMEM61,TMEM61-201,1097,transmembrane protein 61 [Source:HGNC Symbol;Acc:HGNC:27296]
1,ZBTB40,ZBTB40-203,1855,zinc finger and BTB domain containing 40 [Source:HGNC Symbol;Acc:HGNC:29045]
1,ZBTB40,ZBTB40-202,8685,zinc finger and BTB domain containing 40 [Source:HGNC Symbol;Acc:HGNC:29045]
1,ZBTB40,ZBTB40-204,8992,zinc finger and BTB domain containing 40 [Source:HGNC Symbol;Acc:HGNC:29045]
1,ZBTB40,ZBTB40-201,8368,zinc finger and BTB domain containing 40 [Source:HGNC Symbol;Acc:HGNC:29045]
1,RSBN1,RSBN1-201,6621,round spermatid basic protein 1 [Source:HGNC Symbol;Acc:HGNC:25642]
1,RSBN1,RSBN1-205,2418,round spermatid basic protein 1 [Source:HGNC Symbol;Acc:HGNC:25642]
1,RSBN1,RSBN1-204,6592,round spermatid basic protein 1 [Source:HGNC Symbol;Acc:HGNC:25642]
1,RSBN1,RSBN1-206,2703,round spermatid basic protein 1 [Source:HGNC Symbol;Acc:HGNC:25642]
1,MAP10,MAP10-201,3516,microtubule associated protein 10 [Source:HGNC Symbol;Acc:HGNC:29265]
1,GSTM3,GSTM3-202,1565,glutathione S-transferase mu 3 [Source:HGNC Symbol;Acc:HGNC:4635]
1,GSTM3,GSTM3-201,4046,glutathione S-transferase mu 3 [Source:HGNC Symbol;Acc:HGNC:4635]
1,GSTM3,GSTM3-206,678,glutathione S-transferase mu 3 [Source:HGNC Symbol;Acc:HGNC:4635]
1,DCAF6,DCAF6-203,3302,DDB1 and CUL4 associated factor 6 [Source:HGNC Symbol;Acc:HGNC:30002]
1,DCAF6,DCAF6-201,3186,DDB1 and CUL4 associated factor 6 [Source:HGNC Symbol;Acc:HGNC:30002]
1,DCAF6,DCAF6-202,3349,DDB1 and CUL4 associated factor 6 [Source:HGNC Symbol;Acc:HGNC:30002]
1,DCAF6,DCAF6-204,3522,DDB1 and CUL4 associated factor 6 [Source:HGNC Symbol;Acc:HGNC:30002]
1,PHTF1,PHTF1-202,3000,putative homeodomain transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:8939]
1,PHTF1,PHTF1-203,3075,putative homeodomain transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:8939]
1,PHTF1,PHTF1-204,3273,putative homeodomain transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:8939]
1,PHTF1,PHTF1-201,2747,putative homeodomain transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:8939]
1,PHTF1,PHTF1-206,1063,putative homeodomain transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:8939]
1,PHTF1,PHTF1-207,770,putative homeodomain transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:8939]
1,PHTF1,PHTF1-205,3244,putative homeodomain transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:8939]
1,HIST2H4B,HIST2H4B-201,1132,histone cluster 2 H4 family member b [Source:HGNC Symbol;Acc:HGNC:29607]
1,RIMS3,RIMS3-202,7235,regulating synaptic membrane exocytosis 3 [Source:HGNC Symbol;Acc:HGNC:21292]
1,RIMS3,RIMS3-201,1408,regulating synaptic membrane exocytosis 3 [Source:HGNC Symbol;Acc:HGNC:21292]
1,CRABP2,CRABP2-203,992,cellular retinoic acid binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2339]
1,CRABP2,CRABP2-202,783,cellular retinoic acid binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2339]
1,CRABP2,CRABP2-201,456,cellular retinoic acid binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2339]
1,CRABP2,CRABP2-204,1033,cellular retinoic acid binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2339]
1,C1orf54,C1orf54-203,1251,chromosome 1 open reading frame 54 [Source:HGNC Symbol;Acc:HGNC:26258]
1,C1orf54,C1orf54-202,600,chromosome 1 open reading frame 54 [Source:HGNC Symbol;Acc:HGNC:26258]
1,C1orf54,C1orf54-201,418,chromosome 1 open reading frame 54 [Source:HGNC Symbol;Acc:HGNC:26258]
1,NCSTN,NCSTN-201,2936,nicastrin [Source:HGNC Symbol;Acc:HGNC:17091]
1,NCSTN,NCSTN-202,3031,nicastrin [Source:HGNC Symbol;Acc:HGNC:17091]
1,NCSTN,NCSTN-207,448,nicastrin [Source:HGNC Symbol;Acc:HGNC:17091]
1,NCSTN,NCSTN-203,776,nicastrin [Source:HGNC Symbol;Acc:HGNC:17091]
1,NCSTN,NCSTN-208,702,nicastrin [Source:HGNC Symbol;Acc:HGNC:17091]
1,NCSTN,NCSTN-204,958,nicastrin [Source:HGNC Symbol;Acc:HGNC:17091]
1,NCSTN,NCSTN-205,659,nicastrin [Source:HGNC Symbol;Acc:HGNC:17091]
1,NCSTN,NCSTN-206,824,nicastrin [Source:HGNC Symbol;Acc:HGNC:17091]
1,SNRPE,SNRPE-202,942,small nuclear ribonucleoprotein polypeptide E [Source:HGNC Symbol;Acc:HGNC:11161]
1,SNRPE,SNRPE-201,355,small nuclear ribonucleoprotein polypeptide E [Source:HGNC Symbol;Acc:HGNC:11161]
1,PEX19,PEX19-201,3661,peroxisomal biogenesis factor 19 [Source:HGNC Symbol;Acc:HGNC:9713]
1,PEX19,PEX19-206,734,peroxisomal biogenesis factor 19 [Source:HGNC Symbol;Acc:HGNC:9713]
1,PEX19,PEX19-202,796,peroxisomal biogenesis factor 19 [Source:HGNC Symbol;Acc:HGNC:9713]
1,BEND5,BEND5-201,1716,BEN domain containing 5 [Source:HGNC Symbol;Acc:HGNC:25668]
1,GPR137B,GPR137B-202,2042,G protein-coupled receptor 137B [Source:HGNC Symbol;Acc:HGNC:11862]
1,GPR137B,GPR137B-204,1104,G protein-coupled receptor 137B [Source:HGNC Symbol;Acc:HGNC:11862]
1,IPO9,IPO9-201,11435,importin 9 [Source:HGNC Symbol;Acc:HGNC:19425]
1,IPO9,IPO9-202,609,importin 9 [Source:HGNC Symbol;Acc:HGNC:19425]
1,TCEA3,TCEA3-203,1559,transcription elongation factor A3 [Source:HGNC Symbol;Acc:HGNC:11615]
1,TCEA3,TCEA3-205,855,transcription elongation factor A3 [Source:HGNC Symbol;Acc:HGNC:11615]
1,TCEA3,TCEA3-201,1197,transcription elongation factor A3 [Source:HGNC Symbol;Acc:HGNC:11615]
1,TCEA3,TCEA3-204,713,transcription elongation factor A3 [Source:HGNC Symbol;Acc:HGNC:11615]
1,PDC,PDC-201,1242,phosducin [Source:HGNC Symbol;Acc:HGNC:8759]
1,PDC,PDC-202,1174,phosducin [Source:HGNC Symbol;Acc:HGNC:8759]
1,PDE4B,PDE4B-201,3998,phosphodiesterase 4B [Source:HGNC Symbol;Acc:HGNC:8781]
1,PDE4B,PDE4B-202,3175,phosphodiesterase 4B [Source:HGNC Symbol;Acc:HGNC:8781]
1,PDE4B,PDE4B-206,4546,phosphodiesterase 4B [Source:HGNC Symbol;Acc:HGNC:8781]
1,PDE4B,PDE4B-205,579,phosphodiesterase 4B [Source:HGNC Symbol;Acc:HGNC:8781]
1,PDE4B,PDE4B-210,226,phosphodiesterase 4B [Source:HGNC Symbol;Acc:HGNC:8781]
1,PDE4B,PDE4B-214,546,phosphodiesterase 4B [Source:HGNC Symbol;Acc:HGNC:8781]
1,PDE4B,PDE4B-203,3982,phosphodiesterase 4B [Source:HGNC Symbol;Acc:HGNC:8781]
1,PDE4B,PDE4B-215,561,phosphodiesterase 4B [Source:HGNC Symbol;Acc:HGNC:8781]
1,PDE4B,PDE4B-212,550,phosphodiesterase 4B [Source:HGNC Symbol;Acc:HGNC:8781]
1,PDE4B,PDE4B-207,2037,phosphodiesterase 4B [Source:HGNC Symbol;Acc:HGNC:8781]
1,LIN9,LIN9-204,2909,lin-9 DREAM MuvB core complex component [Source:HGNC Symbol;Acc:HGNC:30830]
1,LIN9,LIN9-201,3567,lin-9 DREAM MuvB core complex component [Source:HGNC Symbol;Acc:HGNC:30830]
1,LIN9,LIN9-203,3186,lin-9 DREAM MuvB core complex component [Source:HGNC Symbol;Acc:HGNC:30830]
1,LIN9,LIN9-205,1916,lin-9 DREAM MuvB core complex component [Source:HGNC Symbol;Acc:HGNC:30830]
1,LIN9,LIN9-202,686,lin-9 DREAM MuvB core complex component [Source:HGNC Symbol;Acc:HGNC:30830]
1,FAAH,FAAH-201,2094,fatty acid amide hydrolase [Source:HGNC Symbol;Acc:HGNC:3553]
1,TSNAX,TSNAX-202,646,translin associated factor X [Source:HGNC Symbol;Acc:HGNC:12380]
1,TSNAX,TSNAX-201,2650,translin associated factor X [Source:HGNC Symbol;Acc:HGNC:12380]
1,VTCN1,VTCN1-202,2581,V-set domain containing T-cell activation inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28873]
1,VTCN1,VTCN1-203,2612,V-set domain containing T-cell activation inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28873]
1,VTCN1,VTCN1-207,2719,V-set domain containing T-cell activation inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28873]
1,VTCN1,VTCN1-201,2289,V-set domain containing T-cell activation inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28873]
1,VTCN1,VTCN1-204,569,V-set domain containing T-cell activation inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28873]
1,PRG4,PRG4-205,531,proteoglycan 4 [Source:HGNC Symbol;Acc:HGNC:9364]
1,PRG4,PRG4-201,2606,proteoglycan 4 [Source:HGNC Symbol;Acc:HGNC:9364]
1,PRG4,PRG4-206,4915,proteoglycan 4 [Source:HGNC Symbol;Acc:HGNC:9364]
1,PRG4,PRG4-204,5044,proteoglycan 4 [Source:HGNC Symbol;Acc:HGNC:9364]
1,PRG4,PRG4-202,4921,proteoglycan 4 [Source:HGNC Symbol;Acc:HGNC:9364]
1,PRG4,PRG4-203,4765,proteoglycan 4 [Source:HGNC Symbol;Acc:HGNC:9364]
1,LEFTY1,LEFTY1-201,1626,left-right determination factor 1 [Source:HGNC Symbol;Acc:HGNC:6552]
1,LEFTY1,LEFTY1-202,512,left-right determination factor 1 [Source:HGNC Symbol;Acc:HGNC:6552]
1,CAMSAP2,CAMSAP2-202,7352,calmodulin regulated spectrin associated protein family member 2 [Source:HGNC Symbol;Acc:HGNC:29188]
1,CAMSAP2,CAMSAP2-203,4498,calmodulin regulated spectrin associated protein family member 2 [Source:HGNC Symbol;Acc:HGNC:29188]
1,CAMSAP2,CAMSAP2-201,7161,calmodulin regulated spectrin associated protein family member 2 [Source:HGNC Symbol;Acc:HGNC:29188]
1,CAMSAP2,CAMSAP2-205,451,calmodulin regulated spectrin associated protein family member 2 [Source:HGNC Symbol;Acc:HGNC:29188]
1,ZCCHC11,ZCCHC11-219,553,zinc finger CCHC-type containing 11 [Source:HGNC Symbol;Acc:HGNC:28981]
1,ZCCHC11,ZCCHC11-201,5743,zinc finger CCHC-type containing 11 [Source:HGNC Symbol;Acc:HGNC:28981]
1,ZCCHC11,ZCCHC11-204,5858,zinc finger CCHC-type containing 11 [Source:HGNC Symbol;Acc:HGNC:28981]
1,ZCCHC11,ZCCHC11-215,827,zinc finger CCHC-type containing 11 [Source:HGNC Symbol;Acc:HGNC:28981]
1,ZCCHC11,ZCCHC11-209,506,zinc finger CCHC-type containing 11 [Source:HGNC Symbol;Acc:HGNC:28981]
1,ZCCHC11,ZCCHC11-221,1016,zinc finger CCHC-type containing 11 [Source:HGNC Symbol;Acc:HGNC:28981]
1,ZCCHC11,ZCCHC11-211,1010,zinc finger CCHC-type containing 11 [Source:HGNC Symbol;Acc:HGNC:28981]
1,ZCCHC11,ZCCHC11-220,3854,zinc finger CCHC-type containing 11 [Source:HGNC Symbol;Acc:HGNC:28981]
1,ZCCHC11,ZCCHC11-214,2910,zinc finger CCHC-type containing 11 [Source:HGNC Symbol;Acc:HGNC:28981]
1,ZCCHC11,ZCCHC11-202,2152,zinc finger CCHC-type containing 11 [Source:HGNC Symbol;Acc:HGNC:28981]
1,ZCCHC11,ZCCHC11-208,883,zinc finger CCHC-type containing 11 [Source:HGNC Symbol;Acc:HGNC:28981]
1,ZCCHC11,ZCCHC11-217,539,zinc finger CCHC-type containing 11 [Source:HGNC Symbol;Acc:HGNC:28981]
1,GNAT2,GNAT2-201,1339,G protein subunit alpha transducin 2 [Source:HGNC Symbol;Acc:HGNC:4394]
1,GNAT2,GNAT2-202,466,G protein subunit alpha transducin 2 [Source:HGNC Symbol;Acc:HGNC:4394]
1,IQCC,IQCC-201,2027,IQ motif containing C [Source:HGNC Symbol;Acc:HGNC:25545]
1,IQCC,IQCC-202,2252,IQ motif containing C [Source:HGNC Symbol;Acc:HGNC:25545]
1,MTR,MTR-202,10529,5-methyltetrahydrofolate-homocysteine methyltransferase [Source:HGNC Symbol;Acc:HGNC:7468]
1,MTR,MTR-201,5234,5-methyltetrahydrofolate-homocysteine methyltransferase [Source:HGNC Symbol;Acc:HGNC:7468]
1,MTR,MTR-205,10405,5-methyltetrahydrofolate-homocysteine methyltransferase [Source:HGNC Symbol;Acc:HGNC:7468]
1,PLEKHM2,PLEKHM2-202,4122,pleckstrin homology and RUN domain containing M2 [Source:HGNC Symbol;Acc:HGNC:29131]
1,PLEKHM2,PLEKHM2-201,4004,pleckstrin homology and RUN domain containing M2 [Source:HGNC Symbol;Acc:HGNC:29131]
1,LBR,LBR-201,3745,lamin B receptor [Source:HGNC Symbol;Acc:HGNC:6518]
1,LBR,LBR-205,874,lamin B receptor [Source:HGNC Symbol;Acc:HGNC:6518]
1,LBR,LBR-203,736,lamin B receptor [Source:HGNC Symbol;Acc:HGNC:6518]
1,LBR,LBR-202,3812,lamin B receptor [Source:HGNC Symbol;Acc:HGNC:6518]
1,YARS,YARS-201,3238,tyrosyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:12840]
1,YARS,YARS-210,1167,tyrosyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:12840]
1,ACTN2,ACTN2-201,4863,actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]
1,ACTN2,ACTN2-207,5103,actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]
1,ACTN2,ACTN2-206,4906,actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]
1,ATP1A1,ATP1A1-204,654,ATPase Na+/K+ transporting subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:799]
1,ATP1A1,ATP1A1-201,3654,ATPase Na+/K+ transporting subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:799]
1,ATP1A1,ATP1A1-202,698,ATPase Na+/K+ transporting subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:799]
1,ATP1A1,ATP1A1-205,579,ATPase Na+/K+ transporting subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:799]
1,ATP1A1,ATP1A1-203,3572,ATPase Na+/K+ transporting subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:799]
1,ATP1A1,ATP1A1-211,3763,ATPase Na+/K+ transporting subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:799]
1,AL603832.3,AL603832.3-203,813,
1,AL603832.3,AL603832.3-204,744,
1,ARL8A,ARL8A-201,1793,ADP ribosylation factor like GTPase 8A [Source:HGNC Symbol;Acc:HGNC:25192]
1,ARL8A,ARL8A-204,1727,ADP ribosylation factor like GTPase 8A [Source:HGNC Symbol;Acc:HGNC:25192]
1,NBL1,NBL1-205,546,"neuroblastoma 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:7650]"
1,NBL1,NBL1-201,731,"neuroblastoma 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:7650]"
1,NBL1,NBL1-208,622,"neuroblastoma 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:7650]"
1,NBL1,NBL1-207,588,"neuroblastoma 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:7650]"
1,NBL1,NBL1-202,2172,"neuroblastoma 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:7650]"
1,NBL1,NBL1-203,528,"neuroblastoma 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:7650]"
1,NBL1,NBL1-206,570,"neuroblastoma 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:7650]"
1,NBL1,NBL1-204,573,"neuroblastoma 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:7650]"
1,NBL1,NBL1-213,2109,"neuroblastoma 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:7650]"
1,NBL1,NBL1-212,2133,"neuroblastoma 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:7650]"
1,NBL1,NBL1-211,2051,"neuroblastoma 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:7650]"
1,NBL1,NBL1-209,1953,"neuroblastoma 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:7650]"
1,NBL1,NBL1-210,2160,"neuroblastoma 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:7650]"
1,ATF6,ATF6-201,7496,activating transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:791]
1,NEGR1,NEGR1-202,12811,neuronal growth regulator 1 [Source:HGNC Symbol;Acc:HGNC:17302]
1,NEGR1,NEGR1-201,5577,neuronal growth regulator 1 [Source:HGNC Symbol;Acc:HGNC:17302]
1,HLX,HLX-201,2280,H2.0 like homeobox [Source:HGNC Symbol;Acc:HGNC:4978]
1,HLX,HLX-202,695,H2.0 like homeobox [Source:HGNC Symbol;Acc:HGNC:4978]
1,DUSP10,DUSP10-201,2676,dual specificity phosphatase 10 [Source:HGNC Symbol;Acc:HGNC:3065]
1,DNAJC16,DNAJC16-201,2357,DnaJ heat shock protein family (Hsp40) member C16 [Source:HGNC Symbol;Acc:HGNC:29157]
1,DNAJC16,DNAJC16-202,6069,DnaJ heat shock protein family (Hsp40) member C16 [Source:HGNC Symbol;Acc:HGNC:29157]
1,DNAJC16,DNAJC16-203,3446,DnaJ heat shock protein family (Hsp40) member C16 [Source:HGNC Symbol;Acc:HGNC:29157]
1,DNAJC16,DNAJC16-210,5882,DnaJ heat shock protein family (Hsp40) member C16 [Source:HGNC Symbol;Acc:HGNC:29157]
1,PSRC1,PSRC1-202,1584,proline and serine rich coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:24472]
1,PSRC1,PSRC1-206,1730,proline and serine rich coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:24472]
1,PSRC1,PSRC1-203,1717,proline and serine rich coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:24472]
1,PSRC1,PSRC1-205,1826,proline and serine rich coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:24472]
1,PSRC1,PSRC1-201,1710,proline and serine rich coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:24472]
1,PSRC1,PSRC1-211,366,proline and serine rich coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:24472]
1,PSRC1,PSRC1-208,835,proline and serine rich coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:24472]
1,PSRC1,PSRC1-207,1040,proline and serine rich coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:24472]
1,PSRC1,PSRC1-204,1742,proline and serine rich coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:24472]
1,AGMAT,AGMAT-201,2500,agmatinase [Source:HGNC Symbol;Acc:HGNC:18407]
1,ATAD3B,ATAD3B-201,2448,"ATPase family, AAA domain containing 3B [Source:HGNC Symbol;Acc:HGNC:24007]"
1,FAM72C,FAM72C-202,2297,family with sequence similarity 72 member C [Source:HGNC Symbol;Acc:HGNC:30602]
1,FAM72C,FAM72C-201,1658,family with sequence similarity 72 member C [Source:HGNC Symbol;Acc:HGNC:30602]
1,CD1E,CD1E-212,1458,CD1e molecule [Source:HGNC Symbol;Acc:HGNC:1638]
1,CD1E,CD1E-214,745,CD1e molecule [Source:HGNC Symbol;Acc:HGNC:1638]
1,CD1E,CD1E-210,1003,CD1e molecule [Source:HGNC Symbol;Acc:HGNC:1638]
1,CD1E,CD1E-211,1271,CD1e molecule [Source:HGNC Symbol;Acc:HGNC:1638]
1,CD1E,CD1E-208,1678,CD1e molecule [Source:HGNC Symbol;Acc:HGNC:1638]
1,CD1E,CD1E-209,869,CD1e molecule [Source:HGNC Symbol;Acc:HGNC:1638]
1,CD1E,CD1E-204,399,CD1e molecule [Source:HGNC Symbol;Acc:HGNC:1638]
1,CD1E,CD1E-203,861,CD1e molecule [Source:HGNC Symbol;Acc:HGNC:1638]
1,CD1E,CD1E-202,696,CD1e molecule [Source:HGNC Symbol;Acc:HGNC:1638]
1,CD1E,CD1E-201,435,CD1e molecule [Source:HGNC Symbol;Acc:HGNC:1638]
1,CD1E,CD1E-205,1727,CD1e molecule [Source:HGNC Symbol;Acc:HGNC:1638]
1,CD1E,CD1E-206,1689,CD1e molecule [Source:HGNC Symbol;Acc:HGNC:1638]
1,CD1E,CD1E-207,936,CD1e molecule [Source:HGNC Symbol;Acc:HGNC:1638]
1,CD1E,CD1E-213,1820,CD1e molecule [Source:HGNC Symbol;Acc:HGNC:1638]
1,RNF2,RNF2-202,3606,ring finger protein 2 [Source:HGNC Symbol;Acc:HGNC:10061]
1,RNF2,RNF2-201,1677,ring finger protein 2 [Source:HGNC Symbol;Acc:HGNC:10061]
1,RNF2,RNF2-203,939,ring finger protein 2 [Source:HGNC Symbol;Acc:HGNC:10061]
1,FCRLB,FCRLB-205,1977,Fc receptor like B [Source:HGNC Symbol;Acc:HGNC:26431]
1,FCRLB,FCRLB-204,1152,Fc receptor like B [Source:HGNC Symbol;Acc:HGNC:26431]
1,FCRLB,FCRLB-203,1131,Fc receptor like B [Source:HGNC Symbol;Acc:HGNC:26431]
